,Low,Medium,High,CP4All,ENTSOE_2022
2004,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,0.05161155183774097,0.06834730452848502,0.08952346006039959,0.2002564859148577,0.27813400821508016
2018,0.08503612057176439,0.11262690546311868,0.14752783455328375,0.29858419443139583,0.4147002700436054
2019,0.14004634835604868,0.18553089785434035,0.24303844668597482,0.4450721681942594,0.6181557891586936
2020,0.23047860896871042,0.30545621942070766,0.40017687688958326,0.6631631818984774,0.9210599748589965
2021,0.3788620633930405,0.5024408527807227,0.6583558679340189,0.9875338019010728,1.371574724862601
2022,0.6215825426592909,0.8252205009252956,1.0815958383416902,1.4692628075687801,2.0406427882899725
2023,1.0166176671329377,1.3520432955042505,1.7728838031926872,2.1831182971693623,3.032108746068559
2024,1.6542989194352065,2.2063753618127326,2.8952425701201756,3.2375177931764805,4.496552490522889
2025,2.6701664899912116,3.577456872827601,4.699886735611518,4.787458843835854,6.649248394216464
2026,4.254952250351012,5.741468746868474,7.5568027268392575,7.049830103417584,9.791430699191089
2027,6.648212009891463,9.06870048538035,11.970058694361729,10.31835166179637,14.331043974717183
2028,10.090661113018943,13.983899346207869,18.535831810023453,14.971085368906023,20.793174123480586
2029,14.710748608149437,20.832226116251597,27.777025980116914,21.45652596398116,29.800730505529387
2030,20.366670002296512,29.63483650338539,39.817467339818855,30.23669067589359,41.99540371651888
2031,26.56046866868781,39.847203263230725,54.01992032250129,41.66553897017682,57.86880412524558
2032,32.567743233302714,50.37666099609593,68.93310201739774,55.804593397029755,77.50637971809688
2033,37.74574934338141,59.99172736614595,82.79693773531233,72.23622117975864,100.328084971887
2034,41.774176855171845,67.8458761078678,94.30019796510612,90.0,125.0
2035,44.66547030271744,73.69803958318451,102.9778722119408,107.76377882024136,149.671915028113
2036,46.62266544301855,77.76658117440329,109.06524467821681,124.19540660297024,172.4936202819031
2037,47.89561360421906,80.46071696701493,113.12109889213545,138.3344610298232,192.13119587475444
2038,48.70213214011015,82.18769183696014,115.73145728728346,149.7633093241064,208.0045962834811
2039,49.20468041440926,83.271749965874,117.37424748766423,158.54347403601884,220.1992694944706
2040,49.514576175926294,83.94330967747919,118.39356986068017,165.02891463109398,229.20682587651942
2041,49.70444655718781,84.35593449223184,119.02049146162076,169.68164833820364,235.66895602528282
2042,49.82031987092899,84.6081863647532,119.40398380199314,172.95016989658242,240.20856930080893
2043,49.89086417773274,84.76192120779471,119.63779004103498,175.21254115616412,243.35075160578353
2044,49.93374887913934,84.855438595028,119.78004732690087,176.7624822068235,245.5034475094771
2045,49.95979570321854,84.91226036187585,119.86649567605674,177.81688170283064,246.96789125393144
2046,49.97560714386089,84.94676159656069,119.91899007232406,178.53073719243122,247.95935721171003
2047,49.98520214432435,84.96770131624608,119.95085194020167,179.0124661980989,248.62842527513737
2048,49.99102360153267,84.98040692863059,119.97018539017927,179.33683681810155,249.07894002514104
2049,49.99455515449867,84.98811512356998,119.98191475703284,179.55492783180577,249.38184421084134
2050,49.99669739275727,84.9927910614535,119.98903009513774,179.7014158055686,249.58529972995638
